relation i,relation j,#temporal symmetric,#rel_i,P one direction,P two direction
Make statement,Make statement,987,60754,0.016245843895052178,0.016245843895052178
Consult,Consult,31789,39543,0.8039096679564018,0.8039096679564018
Express intent to meet or negotiate,Express intent to meet or negotiate,4895,24450,0.2002044989775051,0.2002044989775051
Make an appeal or request,Make an appeal or request,608,21313,0.02852718997794773,0.02852718997794773
Make a visit,Make a visit,122,19534,0.006245520630695198,0.006245520630695198
Host a visit,Host a visit,96,19488,0.0049261083743842365,0.0049261083743842365
"Arrest, detain, or charge with legal action","Arrest, detain, or charge with legal action",4,17631,0.000226873121206965,0.000226873121206965
Praise or endorse,Praise or endorse,242,13974,0.0173178760555317,0.0173178760555317
Criticize or denounce,Criticize or denounce,428,11018,0.03884552550372118,0.03884552550372118
Accuse,Accuse,281,9375,0.029973333333333334,0.029973333333333334
Engage in negotiation,Engage in negotiation,7345,9213,0.7972430261586888,0.7972430261586888
Sign formal agreement,Sign formal agreement,6348,8076,0.7860326894502229,0.7860326894502229
Express intent to cooperate,Express intent to cooperate,5437,7950,0.6838993710691824,0.6838993710691824
Engage in diplomatic cooperation,Engage in diplomatic cooperation,4785,7819,0.611970840260903,0.611970840260903
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to engage in diplomatic cooperation (such as policy support),2278,7761,0.2935188764334493,0.2935188764334493
Use conventional military force,Use conventional military force,829,7613,0.10889268356758176,0.10889268356758176
Use unconventional violence,Use unconventional violence,222,7317,0.03034030340303403,0.03034030340303403
Demand,Demand,41,5720,0.007167832167832168,0.007167832167832168
Investigate,Investigate,9,5263,0.001710051301539046,0.001710051301539046
fight with small arms and light weapons,fight with small arms and light weapons,564,4266,0.13220815752461323,0.13220815752461323
Reject,Reject,35,3682,0.009505703422053232,0.009505703422053232
Make optimistic comment,Make optimistic comment,206,3509,0.058706184098033624,0.058706184098033624
Discuss by telephone,Discuss by telephone,2461,3068,0.8021512385919165,0.8021512385919165
Make pessimistic comment,Make pessimistic comment,74,2383,0.031053294167016365,0.031053294167016365
Threaten,Threaten,4,2166,0.0018467220683287165,0.0018467220683287165
Engage in symbolic act,Engage in symbolic act,239,1717,0.1391962725684333,0.1391962725684333
Demonstrate or rally,Demonstrate or rally,6,1708,0.00351288056206089,0.00351288056206089
Appeal for diplomatic cooperation (such as policy support),Appeal for diplomatic cooperation (such as policy support),10,1563,0.006397952655150352,0.006397952655150352
"Return, release person(s)","Return, release person(s)",2,1546,0.00129366106080207,0.00129366106080207
